branch_misses,cache_misses,cache_references,cycles,instructions,context_switches,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_stores,branches,app,dwarfs,class,workload,Thread,Run,Mode,power,seconds,energy,MIPS,instructions_per_cycle,L1_load_ratio,L1_store_ratio,L1_load_rate_PTI,cache_misses_PTI
59993700,6137537824,110090623630,222348340809,214280593504,74108,6133884351,110141898126,110117544894,2571288074,bt,DLA,CPU,A,1,11,2,3.94613,221.09,872.4498817,969.200748582025,70.8800616442905,17.9563049812055,17.948859955147,28.6310193502683,28.6425276486152
59788805,6526231322,110084409229,222498491174,214274568731,73969,6523422112,110135868237,110116312583,2570247030,bt,DLA,CPU,A,1,12,2,3.94917,221.04,872.9245368,969.392728605682,71.8800616442905,16.8831429801856,16.8749415893039,30.4536079183154,30.4573303339279
59670752,6431321836,110092629747,222503153423,214160470477,74238,6431109639,110162623537,110177358278,2570429912,bt,DLA,CPU,A,1,13,2,3.9486,221.18,873.351348,968.263271891672,72.8800616442905,17.1296447612934,17.1379019822205,30.0189424485339,30.0303871282852
59789803,6572994163,110114107015,223216424485,214195669012,73957,6574053661,110180980980,110195079574,2573187586,bt,DLA,CPU,A,1,14,2,3.94834,222.29,877.6764986,963.586616635926,73.8800616442905,16.759975908569,16.772430156477,30.6729485068717,30.6868677285522
59888317,6519130942,110027718559,223216416416,214131794764,73816,6505524191,110168483187,110175194115,2573394238,bt,DLA,CPU,A,1,15,2,3.94773,222.53,878.4883569,962.260345858985,74.8800616442905,16.9346051067509,16.9424600326538,30.3686997261057,30.444479061061
59599975,6300892047,110084392635,222556497887,214148534594,74100,6306780343,110076904196,110139863482,2568778744,bt,DLA,CPU,A,1,16,2,3.94791,221.5,874.462065,966.810539927765,75.8800616442905,17.4537399765597,17.4668843862743,29.4451642545896,29.4229986628007
59717683,6212056787,110113330715,221787079679,214206962993,73221,6215918093,110100277134,110137876224,2566657996,bt,DLA,CPU,A,1,17,2,3.94812,221.69,875.2587228,966.245491420452,76.8800616442905,17.712633192189,17.7166259723385,29.0216498060483,29.000256108402
59483259,6225075547,110084541271,222320529514,214221878976,73549,6217178306,110168411384,110150289976,2572353261,bt,DLA,CPU,A,1,18,2,3.94921,221.16,873.4072836,968.628499620185,77.8800616442905,17.7200018982373,17.7035918037855,29.0442678438884,29.059009176637
59721387,6627367697,110090868450,222920921642,214217170419,73899,6629823304,110149518781,110147533742,2568725365,bt,DLA,CPU,A,1,19,2,3.95074,221.66,875.7210284,966.422315343319,78.8800616442905,16.6142465236657,16.6057033864518,30.9644394845936,30.9376119759081
59790368,6490794559,110093857501,222844190917,214151553548,73762,6491326561,110107711998,110157377344,2570219574,bt,DLA,CPU,A,1,20,2,3.94921,222.58,879.0151618,962.132956905382,79.8800616442905,16.9622820487154,16.9839187556717,30.2868742651742,30.3093507913551
59617945,6442574892,110113822939,222411645113,214184922623,74257,6446599596,110144305719,110146125874,2568673521,bt,DLA,CPU,A,1,21,2,3.9497,221.08,873.199676,968.811844685182,80.8800616442905,17.0856440017374,17.0911198045964,30.0891425786474,30.0794977214151
59657066,6316311044,110056469990,222482407272,214159608790,73769,6314467824,110166590053,110153294315,2570440618,bt,DLA,CPU,A,1,22,2,3.94913,221.22,873.6265386,968.084299746858,81.8800616442905,17.4466943412522,17.4491949965934,29.4770846877582,29.4934748885988
59784077,6372028703,110108783717,223072581876,214213991887,74401,6372876049,110156922728,110162786087,2571381351,bt,DLA,CPU,A,1,23,2,3.94936,221.66,875.4151376,966.407975669945,82.8800616442905,17.2852762051265,17.2892385194707,29.7448107981722,29.7460900983597
