instructions,cycles,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,MIPS,Instructions_per_cycle,dwarfs,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17844185261,12291202921,4,116530672,783755,148.6825245134,7,133685992,197704,0,3120102087,4960274216,287223942,3786081,5349231,4,0.78,W,CPU,bt,22877.1605910256,1.45178509993619,DLA,0.29977445995762,0.212174495199554,17.2697101135114,16.096220578238,0.006725739983719,0.043922151027706,0.011079463539986
17671950099,12421119346,4,118234793,740189,159.735949872262,5,125363816,9941,0,3082868622,4925301566,285520985,2647676,4498150,4,0.78,W,CPU,bt,22656.3462807692,1.42273410364509,DLA,0.254536142010413,0.149823646239801,17.2502261646373,16.1567333203457,0.00626033150834,0.041884964356134,0.000562529881779
17670700283,12424987882,4,118488494,724872,163.461264885387,8,127514431,14776,0,3089939238,4927276026,284948710,3001257,5073223,4,0.79,W,CPU,bt,22367.9750417722,1.42219054463622,DLA,0.287098016419908,0.16984369334176,17.2917997277475,16.1254905259263,0.006117657297594,0.041021124708756,0.000836186442153
17713868283,12441562889,4,118311251,733121,161.380251009042,11,133885582,14938,0,3080657560,4920656645,282896695,4248691,5486170,4,0.78,W,CPU,bt,22710.0875423077,1.42376552214846,DLA,0.309710443385484,0.239851111689561,17.3938286730426,15.970351053784,0.006196545077526,0.041386838170383,0.000843294065494
17709417241,12408855757,4,118244986,726413,162.779281207798,13,129246740,9898,0,3081412879,4936534099,283540496,3306160,5306787,4,0.78,W,CPU,bt,22704.3810782051,1.42715956956868,DLA,0.299659041728035,0.186689372948181,17.4103317467569,16.0107185991169,0.006143287969944,0.041018458716882,0.000558911671982
17750572862,12409726413,4,118164558,729953,161.879679924598,10,126988657,12841,0,3072339917,4917509384,284708797,2706522,4494426,4,0.78,W,CPU,bt,22757.1446948718,1.43037584159834,DLA,0.253198926870781,0.152475191704604,17.2720668831318,16.0394145706417,0.006177427583658,0.041122785482753,0.000723413272339
17699091840,12441117793,4,118763548,727837,163.173276434147,6,131484970,12542,0,3078285822,4927476368,283924735,4017270,5861600,4,0.78,W,CPU,bt,22691.1433846154,1.42262874883786,DLA,0.331180834191321,0.226976052574684,17.3548682470374,16.0417685589003,0.006128454498513,0.041122844413694,0.000708623929034
17731801178,12426324883,4,117927520,715391,164.843449246636,10,128591777,11818,0,3081907560,4916149081,283373970,3150742,4679760,4,0.78,W,CPU,bt,22733.0784333333,1.42695457787831,DLA,0.263919043137378,0.177688773315886,17.348626202329,15.9811159145854,0.006066361778828,0.040345083548962,0.000666486155657
17743044219,12460146313,4,118913406,716131,166.04979535867,15,137288767,15150,0,3072116485,4936600160,283068692,4782851,5760015,4,0.78,W,CPU,bt,22747.4925884615,1.42398361731019,DLA,0.324635103700634,0.269562028982508,17.4395837459835,15.9537838324766,0.006022289866964,0.040361225005185,0.000853855731463
17624339819,12413969143,4,118352167,719581,164.473724292331,10,125604108,21581,0,3090231313,4939124605,284535743,3039336,4865694,4,0.78,W,CPU,bt,22595.3074602564,1.41971835244476,DLA,0.276078085759247,0.172451055257311,17.3585383436344,16.1444766681845,0.00607999851832,0.040828820108442,0.001224499766893
17677246253,12411015244,4,119324659,742432,160.721330707728,14,131956218,11416,0,3071375594,4936802327,283131913,4367295,5458838,4,0.78,W,CPU,bt,22663.1362217949,1.42431911535569,DLA,0.308805903468906,0.247057428373994,17.4364036702567,16.0167431594132,0.006221949479864,0.041999301778918,0.000645801944297
17805420258,12418495212,4,118007146,713890,165.301581476138,9,131326778,11500,0,3070642966,4911858333,282690994,3458635,5166449,4,0.79,W,CPU,bt,22538.5066556962,1.43378243128802,DLA,0.290161587041379,0.194246187390384,17.3753619225662,15.8766819262795,0.006049548897657,0.04009397080528,0.000645870742356
17702950817,12459899388,4,119372745,715820,166.763634712637,8,142006729,23776,0,3081097326,4937982176,283646212,5315170,6003655,4,0.78,W,CPU,bt,22696.0907910256,1.42079404220948,DLA,0.339133010200465,0.300242036197484,17.4089480736658,16.0225385548502,0.005996511180169,0.040435066865384,0.00134305293201
17681474632,12390606312,4,117784442,728693,161.637949040268,6,124539286,15682,0,3081062462,4930401008,282786083,2875015,4651118,4,0.78,W,CPU,bt,22668.5572205128,1.42700641007986,DLA,0.2630503448837,0.162600408610534,17.4350907077701,15.9933539982131,0.006186665977498,0.041212230041108,0.000886916975331
17718951533,12369797676,4,118271141,720675,164.111618968328,13,123248010,11538,0,3067736638,4934706929,284644444,2777149,5240719,4,0.78,W,CPU,bt,22716.6045294872,1.4324366490956,DLA,0.295769136804715,0.156733257880852,17.3363894255389,16.0644067155934,0.006093413777077,0.040672553263539,0.000651167196801
17672835527,12499928948,3,119126790,718060,165.900885719856,6,157352527,16102,0,3088340324,4949108333,283575010,7946222,6310670,4,0.79,W,CPU,bt,22370.6778822785,1.41383487862366,DLA,0.357083049313663,0.449629149089291,17.4525545569054,16.0458127710612,0.006027695365585,0.040630718194767,0.000911115818138
17721707648,12406873626,4,117863427,720670,163.547014583651,5,124897303,16793,0,3082855862,4929291137,282556701,3149374,5099351,4,0.79,W,CPU,bt,22432.5413265823,1.42837818633553,DLA,0.287746028841385,0.177712783810392,17.4453167083091,15.944101246467,0.006114449735116,0.040665945647813,0.000947594912045
